state_name,year,detail,male,female,total
Jharkhand,2003,Escapees from Police Custody,13,0,13
Jharkhand,2003,Re-arrested escapees,3,0,3
Jharkhand,2004,Escapees from Inside Prison,2,0,2
Jharkhand,2004,Escapees from Outside Prison,3,0,3
Jharkhand,2004,Escapees from Police Custody,6,0,6
Jharkhand,2004,Re-arrested escapees,2,0,2
Jharkhand,2005,Escapees from Inside Prison,0,0,0
Jharkhand,2005,Escapees from Outside Prison,2,0,2
Jharkhand,2005,Escapees from Police Custody,24,0,24
Jharkhand,2005,Re-arrested escapees,18,0,18
Jharkhand,2006,Escapees from Inside Prison,1,0,1
Jharkhand,2006,Escapees from Outside Prison,1,0,1
Jharkhand,2006,Escapees from Police Custody,7,0,7
Jharkhand,2006,Re-arrested escapees,0,0,0
Jharkhand,2007,Escapees from Inside Prison,0,0,0
Jharkhand,2007,Escapees from Outside Prison,1,0,1
Jharkhand,2007,Escapees from Police Custody,2,0,2
Jharkhand,2007,Re-arrested escapees,0,0,0
Jharkhand,2008,Escapees from Inside Prison,4,0,4
Jharkhand,2008,Escapees from Outside Prison,8,0,8
Jharkhand,2008,Escapees from Police Custody,12,0,12
Jharkhand,2008,Re-arrested escapees,3,0,3
Jharkhand,2009,Escapees from Inside Prison,0,0,0
Jharkhand,2009,Escapees from Outside Prison,9,0,9
Jharkhand,2009,Escapees from Police Custody,1,0,1
Jharkhand,2009,Re-arrested escapees,4,0,4
Jharkhand,2010,Escapees from Inside Prison,0,0,0
Jharkhand,2010,Escapees from Outside Prison,6,0,6
Jharkhand,2010,Escapees from Police Custody,0,0,0
Jharkhand,2010,Re-arrested escapees,1,0,1
Jharkhand,2011,Escapees from Inside Prison,9,0,9
Jharkhand,2011,Escapees from Outside Prison,1,0,1
Jharkhand,2011,Escapees from Police Custody,0,0,0
Jharkhand,2011,Re-arrested escapees,0,0,0
Jharkhand,2012,Escapees from Inside Prison,0,0,0
Jharkhand,2012,Escapees from Outside Prison,0,0,0
Jharkhand,2012,Escapees from Police Custody,0,0,0
Jharkhand,2012,Re-arrested escapees,0,0,0
Karnataka,2001,Escapees from Inside Prison,7,0,7
Karnataka,2001,Escapees from Outside Prison,5,0,5
Karnataka,2001,Escapees from Police Custody,5,0,5
Karnataka,2001,Re-arrested escapees,1,0,1
Karnataka,2002,Escapees from Inside Prison,1,0,1
Karnataka,2002,Escapees from Outside Prison,8,0,8
Karnataka,2002,Escapees from Police Custody,15,0,15
Karnataka,2002,Re-arrested escapees,9,0,9
Karnataka,2003,Escapees from Inside Prison,10,0,10
Karnataka,2003,Escapees from Outside Prison,2,0,2
